timestamp,power
1681443900,20
1681444200,20
1681444500,20
1681444800,20
1681445100,50
1681445400,70
1681445700,90
1681446000,120
1681446300,170
1681446600,170
1681446900,190
1681447200,220
1681447500,300
1681447800,270
1681448100,320
1681448400,410
1681448700,410
1681449000,520
1681449300,440
1681449600,590
1681449900,740
1681450200,770
1681450500,750
1681450800,900
1681451100,880
1681451400,850
1681451700,1090
1681452000,1690
1681452300,1410
1681452600,1450
1681452900,1550
1681453200,1600
1681453500,1480
1681453800,1680
1681454100,1860
1681454400,1760
1681454700,1590
1681455000,2110
1681455300,1590
1681455600,2190
1681455900,1490
1681456200,1380
1681456500,2500
1681456800,2070
1681457100,2100
1681457400,1390
1681457700,2220
1681458000,2820
1681458300,1840
1681458600,2170
1681458900,1800
1681459200,1770
1681459500,1770
1681459800,1490
1681460100,2040
1681460400,2810
1681460700,2270
1681461000,2100
1681461300,1700
1681461600,1620
1681461900,1500
1681462200,2020
1681462500,2020
1681462800,2170
1681463100,2340
1681463400,1970
1681463700,2740
1681464000,3130
1681464300,1950
1681464600,2400
1681464900,2030
1681465200,2760
1681465500,3680
1681465800,3800
1681466100,8710
1681466400,2820
1681466700,2940
1681467000,2620
1681467300,2810
1681467600,2890
1681467900,2950
1681468200,3520
1681468500,3520
1681468800,2730
1681469100,2280
1681469400,5460
1681469700,3660
1681470000,3600
1681470300,3030
1681470600,2860
1681470900,3120
1681471200,7980
1681471500,6050
1681471800,4660
1681472100,1970
1681472400,2460
1681472700,2690
1681473000,5090
1681473300,6860
1681473600,7720
1681473900,1640
1681474200,2050
1681474500,3540
1681474800,7090
1681475100,2640
1681475400,4320
1681475700,1300
1681476000,5730
1681476300,1220
1681476600,1390
1681476900,5610
1681477200,1500
1681477500,5480
1681477800,5480
1681478100,2860
1681478400,1620
1681478700,2260
1681479000,4650
1681479300,4460
1681479600,920
1681479900,4180
1681480200,3810
1681480500,1330
1681480800,900
1681481100,880
1681481400,3820
1681481700,3270
1681482000,3710
1681482300,3530
1681482600,600
1681482900,2370
1681483200,2170
1681483500,1770
1681483800,1510
1681484100,1520
1681484400,2180
1681484700,690
1681485000,730
1681485300,1410
1681485600,590
1681485900,730
1681486200,1230
1681486500,780
1681486800,690
1681487100,710
1681487400,620
1681487700,600
1681488000,610
1681488300,540
1681488600,510
1681488900,460
1681489200,440
1681489500,410
1681489800,350
1681490100,310
1681490400,260
1681490700,250
1681491000,190
1681491300,160
1681491600,110
1681491900,70
1681492200,20
1681492500,20
1681492800,20
1681493100,20
1681493400,20
1681493700,20
1681494000,20
1681494300,20
1681494600,20
1681494900,20
1681495200,20
1681495500,20
1681495800,20
1681497000,0
1681531200,20
1681531500,20
1681531800,20
1681532100,20
1681532400,20
1681532700,20
1681533000,20
1681533300,20
1681533600,20
1681533900,20
1681534200,20
1681534500,100
1681534800,140
1681535100,170
1681535400,170
1681535700,100
1681536000,150
1681536300,150
1681536600,100
1681536900,100
1681537200,100
1681537500,70
1681537800,120
1681538100,160
1681538400,200
1681538700,200
1681539000,150
1681539300,170
1681539600,150
1681539900,160
1681540200,190
1681540500,180
1681540800,180
1681541100,180
1681541400,430
1681541700,430
1681542000,430
1681542300,400
1681542600,400
1681542900,510
1681543200,510
1681543500,510
1681543800,510
1681544100,580
1681544400,520
1681544700,520
1681545000,500
1681545300,500
1681545600,400
1681545900,400
1681546200,720
1681546500,720
1681546800,660
1681547100,680
1681547400,760
1681547700,870
1681548000,500
1681548300,700
1681548600,790
1681548900,790
1681549200,840
1681549500,520
1681549800,520
1681550100,530
1681550400,650
1681550700,650
1681551000,700
1681551300,1160
1681551600,1180
1681551900,1140
1681552200,640
1681552500,1040
1681552800,1110
1681553100,1150
1681553400,1150
1681553700,1130
1681554000,1130
1681554300,1000
1681554600,1000
1681554900,740
1681555200,1020
1681555500,830
1681555800,910
1681556100,1370
1681556400,1370
1681556700,1030
1681557000,1100
1681557300,530
1681557600,530
1681557900,1100
1681558200,1100
1681558500,960
1681558800,850
1681559100,850
1681559400,2580
1681559700,2460
1681560000,1010
1681560300,1010
1681560600,770
1681560900,770
1681561200,750
1681561500,610
1681561800,660
1681562100,660
1681562400,830
1681562700,740
1681563000,750
1681563300,1210
1681563600,1500
1681563900,910
1681564200,910
1681564500,660
1681564800,880
1681565100,880
1681565400,700
1681565700,1290
1681566000,1640
1681566300,1210
1681566600,1100
1681566900,910
1681567200,910
1681567500,800
1681567800,1190
1681568100,920
1681568400,870
1681568700,1110
1681569000,620
1681569300,700
1681569600,700
1681569900,280
1681570200,280
1681570500,300
1681570800,320
1681571100,380
1681571400,380
1681571700,780
1681572000,780
1681572300,640
1681572600,660
1681572900,490
1681573200,260
1681573500,210
1681573800,210
1681574100,220
1681574400,220
1681574700,350
1681575000,350
1681575300,290
1681575600,320
1681575900,320
1681576200,210
1681576500,90
1681576800,50
1681577100,50
1681577400,190
1681577700,170
1681578000,150
1681578300,110
1681578600,110
1681578900,50
1681579200,20
1681579500,20
1681579800,20
1681580100,20
1681580400,20
1681580700,20
1681581000,20
1681581300,20
1681581600,20
1681581900,20
1681582200,20
1681582500,20
1681583700,0
1681616700,20
1681617000,20
1681617300,20
1681617600,20
1681617900,20
1681618200,30
1681618500,30
1681618800,70
1681619100,70
1681619400,90
1681619700,80
1681620000,110
1681620300,210
1681620600,210
1681620900,290
1681621200,290
1681621500,240
1681621800,240
1681622100,220
1681622400,220
1681622700,410
1681623000,580
1681623300,460
1681623600,460
1681623900,530
1681624200,600
1681624500,580
1681624800,530
1681625100,580
1681625400,860
1681625700,860
1681626000,830
1681626300,830
1681626600,1000
1681626900,970
1681627200,970
1681627500,1170
1681627800,1260
1681628100,980
1681628400,980
1681628700,1110
1681629000,1080
1681629300,980
1681629600,1030
1681629900,1170
1681630200,1170
1681630500,1360
1681630800,1360
1681631100,1310
1681631400,1560
1681631700,1480
1681632000,1130
1681632300,1260
1681632600,1260
1681632900,1590
1681633200,2040
1681633500,1970
1681633800,1730
1681634100,1730
1681634400,1630
1681634700,1530
1681635000,1540
1681635300,1450
1681635600,1520
1681635900,1520
1681636200,1630
1681636500,1630
1681636800,1790
1681637100,2230
1681637400,2230
1681637700,3300
1681638000,3420
1681638300,3210
1681638600,4010
1681638900,2940
1681639200,3030
1681639500,2710
1681639800,2780
1681640100,2780
1681640400,4630
1681640700,2940
1681641000,2110
1681641300,2110
1681641600,2470
1681641900,2470
1681642200,2200
1681642500,3460
1681642800,7190
1681643100,7190
1681643400,1920
1681643700,1670
1681644000,1530
1681644300,1820
1681644600,2090
1681644900,2090
1681645200,2720
1681645500,2720
1681645800,5390
1681646100,7650
1681646400,7650
1681646700,1990
1681647000,2690
1681647300,1940
1681647600,5560
1681647900,2490
1681648200,3090
1681648500,6580
1681648800,5920
1681649100,5920
1681649400,1760
1681649700,1730
1681650000,2120
1681650300,2120
1681650600,1970
1681650900,5970
1681651200,1640
1681651500,5050
1681651800,5050
1681652100,2530
1681652400,2530
1681652700,1220
1681653000,1030
1681653300,1030
1681653600,900
1681653900,940
1681654200,940
1681654500,970
1681654800,1140
1681655100,1140
1681655400,980
1681655700,980
1681656000,1000
1681656300,1040
1681656600,1490
1681656900,1140
1681657200,1400
1681657500,1490
1681657800,1490
1681658100,1430
1681658400,1330
1681658700,930
1681659000,720
1681659300,680
1681659600,690
1681659900,700
1681660200,650
1681660500,480
1681660800,290
1681661100,230
1681661400,230
1681661700,230
1681662000,200
1681662300,180
1681662600,180
1681662900,140
1681663200,100
1681663500,100
1681663800,80
1681664100,70
1681664400,50
1681664700,50
1681665000,40
1681665300,30
1681665600,20
1681665900,20
1681666200,20
1681666500,20
1681666800,20
1681667100,20
1681667400,20
1681667700,20
1681668000,20
1681668300,20
1681668600,20
1681668900,20
1681670100,0
1681702200,20
1681702500,20
1681702800,40
1681703100,80
1681703400,110
1681703700,150
1681704000,240
1681704300,280
1681704600,420
1681704900,400
1681705200,530
1681705500,920
1681705800,1070
1681706100,1130
1681706400,1130
1681706700,1450
1681707000,1500
1681707300,1470
1681707600,960
1681707900,1580
1681708200,1710
1681708500,1900
1681708800,1270
1681709100,570
1681709400,800
1681709700,1030
1681710000,1870
1681710300,1100
1681710600,1310
1681710900,1660
1681711200,2110
1681711500,850
1681711800,950
1681712100,1050
1681712400,940
1681712700,960
1681713000,1110
1681713300,1010
1681713600,1070
1681713900,970
1681714200,920
1681714500,830
1681714800,940
1681715100,990
1681715400,1630
1681715700,2180
1681716000,3350
1681716300,1970
1681716600,1290
1681716900,1450
1681717200,2200
1681717500,1640
1681717800,1820
1681718100,2600
1681718400,4900
1681718700,4270
1681719000,3290
1681719300,6400
1681719600,2360
1681719900,3490
1681720200,2340
1681720500,4000
1681720800,2790
1681721100,2570
1681721400,2270
1681721700,3110
1681722000,3090
1681722300,2550
1681722600,1890
1681722900,1490
1681723200,1280
1681723500,1430
1681723800,1630
1681724100,1710
1681724400,3560
1681724700,3110
1681725000,2570
1681725300,1780
1681725600,2360
1681725900,2710
1681726200,2590
1681726500,2000
1681726800,1020
1681727100,1170
1681727400,2160
1681727700,2140
1681728000,1280
1681728300,1500
1681728600,990
1681728900,1540
1681729200,2260
1681729500,2370
1681729800,3970
1681730100,2790
1681730400,2190
1681730700,2250
1681731000,3290
1681731300,4180
1681731600,3110
1681731900,1980
1681732200,1640
1681732500,1270
1681732800,1010
1681733100,1220
1681733400,930
1681733700,1050
1681734000,1220
1681734300,1230
1681734600,1460
1681734900,1320
1681735200,1800
1681735500,1460
1681735800,1410
1681736100,1260
1681736400,1150
1681736700,1150
1681737000,1250
1681737300,1470
1681737600,1260
1681737900,1410
